       Q,      F(Q)_RMC,  F(Q)_Expt
     10.5999998 ,       0.3152813 ,       0.2292457
     10.6199998 ,       0.3266294 ,       0.2383156
     10.6399998 ,       0.3347123 ,       0.2451982
     10.6599998 ,       0.3392932 ,       0.2497365
     10.6799998 ,       0.3401937 ,       0.2518107
     10.6999998 ,       0.3372993 ,       0.2513408
     10.7199998 ,       0.3305637 ,       0.2482900
     10.7399998 ,       0.3200109 ,       0.2426649
     10.7599998 ,       0.3057361 ,       0.2345168
     10.7799998 ,       0.2879047 ,       0.2239410
     10.7999998 ,       0.2667502 ,       0.2110747
     10.8199998 ,       0.2425699 ,       0.1960953
     10.8399998 ,       0.2157192 ,       0.1792166
     10.8599998 ,       0.1866050 ,       0.1606846
     10.8799998 ,       0.1556774 ,       0.1407730
     10.8999998 ,       0.1234207 ,       0.1197773
     10.9199998 ,       0.0903433 ,       0.0980094
     10.9399998 ,       0.0569674 ,       0.0757910
     10.9599998 ,       0.0238185 ,       0.0534471
     10.9799998 ,      -0.0085862 ,       0.0313002
     10.9999998 ,      -0.0397474 ,       0.0096634
     11.0199998 ,      -0.0691946 ,      -0.0111653
     11.0399998 ,      -0.0964952 ,      -0.0309086
     11.0599998 ,      -0.1212630 ,      -0.0493150
     11.0799998 ,      -0.1431656 ,      -0.0661634
     11.0999998 ,      -0.1619305 ,      -0.0812663
     11.1199998 ,      -0.1773501 ,      -0.0944731
     11.1399998 ,      -0.1892844 ,      -0.1056719
     11.1599998 ,      -0.1976628 ,      -0.1147908
     11.1799998 ,      -0.2024842 ,      -0.1217975
     11.1999998 ,      -0.2038154 ,      -0.1266995
     11.2199998 ,      -0.2017882 ,      -0.1295417
     11.2399998 ,      -0.1965944 ,      -0.1304046
     11.2599998 ,      -0.1884807 ,      -0.1294010
     11.2799998 ,      -0.1777412 ,      -0.1266721
     11.2999998 ,      -0.1647102 ,      -0.1223837
     11.3199998 ,      -0.1497531 ,      -0.1167214
